"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","899","loginErrorUser","Surefire suite","Thu Dec 19 16:44:35 ART 2024","passed","Thu Dec 19 16:44:36 ART 2024","tests.sauceDemo.LoginTest","Surefire test","tests.sauceDemo.LoginTest","loginErrorUser"
"","597","loginVisualUser","Surefire suite","Thu Dec 19 16:44:50 ART 2024","passed","Thu Dec 19 16:44:50 ART 2024","tests.sauceDemo.LoginTest","Surefire test","tests.sauceDemo.LoginTest","loginVisualUser"
"","5594","loginPerformanceUser","Surefire suite","Thu Dec 19 16:44:39 ART 2024","passed","Thu Dec 19 16:44:45 ART 2024","tests.sauceDemo.LoginTest","Surefire test","tests.sauceDemo.LoginTest","loginPerformanceUser"
"","627","loginStandardUser","Surefire suite","Thu Dec 19 16:44:48 ART 2024","passed","Thu Dec 19 16:44:49 ART 2024","tests.sauceDemo.LoginTest","Surefire test","tests.sauceDemo.LoginTest","loginStandardUser"
"","588","loginLockedUser","Surefire suite","Thu Dec 19 16:44:37 ART 2024","passed","Thu Dec 19 16:44:38 ART 2024","tests.sauceDemo.LoginTest","Surefire test","tests.sauceDemo.LoginTest","loginLockedUser"
"","593","loginProblemUser","Surefire suite","Thu Dec 19 16:44:46 ART 2024","passed","Thu Dec 19 16:44:47 ART 2024","tests.sauceDemo.LoginTest","Surefire test","tests.sauceDemo.LoginTest","loginProblemUser"
